,company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
337,Aerchain,2019.0,Bengaluru,Computer Software,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,"Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart",3000000.0,Pre-Series A,9,2021
339,CuriousJr,2020.0,Gurugram,E-Learning,CuriousJr is a platform to answer kids' curiosity and prepare them for 21st-century skills.,"Amit Shekhar, Janishar Ali, Mridul Ranjan Sahu","WaterBridge Ventures, Enzia Ventures",1000000.0,Seed,9,2021
340,Wow! Momo,2008.0,Kolkata,Food & Beverages,WOW! Momo is one of the fastest-growing food brands in India.,"Binod Homagai, Sagar Daryani, Shah Miftaur Rahman",Tree Line Investment Management,15000000.0,Series C,9,2021
343,ZestMoney,2015.0,Bengaluru,Financial Services,"ZestMoney helps make it accessible for millions to upgrade, to enhance, to rise, while keeping it affordable.","Priya Sharma, Lizzie Chapman",Zip Co,50000000.0,Series C,9,2021
344,FrontRow,2020.0,Bengaluru,E-Learning,"FrontRow enables everyone to pursue their passions - get better, learn from the best and get noticed!","Shubhadit Sharma, Mikhil Raj, Ishaan Preet Singh","Eight Roads Ventures, GSV",14000000.0,Series A,9,2021
345,HappyCredit,2020.0,Bengaluru,Fintech,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.","Jitendra Kumar, Ashish Virmani","Kunal Shah, Krishna Kumar",600000.0,Pre-Seed,9,2021
346,Endimension,2018.0,Mumbai,Healthcare,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,300000.0,Seed,9,2021
349,BeepKart,2020.0,Bengaluru,Automotive,BeepKart is building a platform to digitize and organize the used two-wheeler market.,"Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures",3000000.0,Seed,9,2021
350,Lio,2020.0,Pune,Computer Software,"Lio is the one app for all data where you can create, keep records and track all the records",Anupam Vijayvergia,"Lightspeed, Sequioa",5000000.0,Seed,9,2021
352,WickedGud,2021.0,Mumbai,Food & Beverages,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,Bhuman Dani,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja",340000.0,Pre-Seed,9,2021
353,Enercomp,2013.0,Ahmedabad,Information Technology & Services,Enercomp Solutions Pvt Ltd provide drone based economically viable solutions for different sectors to improve efficiency and accuracy.,SURESH SHAHDADPURI,ah! Ventures,200000.0,Unknown,9,2021
354,BetterPlace,2014.0,Bengaluru,Information Technology & Services,"BetterPlace is India’s largest technology platform delivering digital solutions for blue-collar workforce management, throughout the entire value chain.",Pravin Agarwala,"Jungle Ventures, CX Partners",24000000.0,Series C,9,2021
355,Medpho,2021.0,Noida,Hospital & Health Care,Medpho is a healthcare service provider in India that connects doctors and patients at the click of a call.,Shashank Saini,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj",1000000.0,Unknown,9,2021
356,LivQuik Technology,2012.0,Mumbai,Financial Services,LivQuik’s vision is to enable the efficient movement of money.,Mohit Lalvani,M2P Fintech,4000000.0,Unknown,9,2021
358,GTM Buddy,2020.0,Hyderabad,Computer Software,Just-in-time Sales Enablement Platform,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,2000000.0,Seed,9,2021
359,Gobbly,2019.0,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",900000.0,Pre-Series A,9,2021
360,HexaHealth,2019.0,Mumbai,Healthtech,H2D is the most trusted online platform that connects the finest experts with people aspiring to achieve their Health Goals in a holistic way,"Vikas Chauhan, Ankur Gigras, Dr Aman Priya Khanna","Omidyar Network India, Chiratae Ventures",4500000.0,Seed,9,2021
361,Eupheus Learning,2017.0,New Delhi,E-Learning,Offer pedagogically differentiated technology driven solutions that lead to critical thinking and achievement of higher learning outcomes,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,10000000.0,Series C,9,2021
362,Easiloan,2020.0,Mumbai,Fintech,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,1000000.0,Unknown,9,2021
363,Anar,2019.0,Mumbai,Information Technology & Services,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",6200000.0,Seed,9,2021
365,Vahan,2016.0,Bengaluru,Information Technology & Services,"Help companies such as Zomato, Swiggy, Flipkart, Uber, Shadowfax etc. hire blue-collar workers and are on track to become India's largest recruitment platform.",Madhav Krishna,Khosla Ventures,8000000.0,Series A,9,2021
367,Tinkerly,2015.0,Jaipur,Edtech,"A STEM learning online-offline solutions provider that makes STEM learning & Coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.","O.P. Godara, Vivek Pathak, Kapil Arya, Sharad Bansal",Navneet Education,800000.0,Unknown,9,2021
368,Godamwale,2016.0,Mumbai,Logistics & Supply Chain,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",,1000000.0,Seed,9,2021
370,Awon GameZ,2020.0,Noida,Gaming,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep Bajpai,Aditya Duggar,2000000.0,Seed,9,2021
371,Ayu Health,2019.0,Bengaluru,"Health, Wellness & Fitness",Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",6300000.0,Series A,9,2021
373,BharatAgri,2017.0,Bengaluru,Agritech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient",6500000.0,Series A,9,2021
376,eShipz,2019.0,Bengaluru,Saas,Digital Shipping Platform for Creating best Pre & Post Shipping Experiences to Brands and Enterprise Customers. and help grow their business by 5X with automation & cloud technology.,"Shashi S Tripathi, Shivadeep Mahadi, Ajaykumar R","Indian Angel Network, Axilor",700000.0,Unknown,9,2021
377,Pine Labs,1998.0,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,Invesco Developing Markets Fund,100000000.0,Unknown,9,2021
378,Paytail,2020.0,New Delhi,Financial Services,Paytail is revolutionizing the offline commerce by enabling instant paperless EMI's to consumers,"AMIT CHATURVEDI, Vikas Garg",Cholamandalam,1500000.0,Seed,9,2021
379,4Fin,2021.0,Pune,Financial Services,4Fin is a Fintech Platform catering to needs of Smart Bharat.,"Amit Tewary, Ajit Sinha",Curesense Therapeutics,1100000.0,Pre-Seed,9,2021
384,Farmers Fresh Zone,2015.0,Kochi,Agritech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network",800000.0,Pre-Series A,9,2021
388,Nova Benefits,2020.0,Bengaluru,"Health, Wellness & Fitness",Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners",10000000.0,Series A,9,2021
390,Lido Learning,2019.0,Mumbai,E-Learning,LIDO is an ed-tech company revolutionizing formal classroom education through a unique and immersive online classroom for every child in India.,Sahil Sheth,Unilazer Ventures,10000000.0,Unknown,9,2021
391,Jar,2021.0,Bengaluru,Fintech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah",4500000.0,Pre-Series A,9,2021
393,moneyHOP,2018.0,London,Financial Services,moneyHOP is India’s first cross-border neo bank.,Mayank Goyal,,1200000.0,Seed,9,2021
394,Codingal,2020.0,Bengaluru,Edtech,Codingal is on a mission to inspire school kids to fall in love with coding. Backed by Y Combinator!,"Vivek Prakash, Satyam Baranwal",,1200000.0,Seed,9,2021
396,Peak,2014.0,"Manchester, Greater Manchester",Information Technology & Services,Peak helps the world's smartest companies put the power of AI at the center of all commercial decision making with Decision Intelligence,Atul Sharma,SoftBank Vision Fund 2,75000000.0,Series C,9,2021
397,REVOS,2017.0,Bengaluru,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT solutions,"Mohit Yadav, Jyotrian Jan Harichandran",,4000000.0,Series A,9,2021
400,Habbit,2020.0,Bengaluru,Edtech,Habbit is online learning community for anyone looking to get mentored in a skill or hobby of their choice.,"Somnath Sandeep, Raghav Goyal",Ashok Goyal,320000.0,Pre-Seed,9,2021
401,Bikayi,2019.0,Hyderabad,E-Commerce,Empowering SMBs in India,"Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,10000000.0,Series A,9,2021
402,Sugar.fit,2021.0,Bengaluru,"Health, Wellness & Fitness","Innovative technology, compassionate diabetes experts and personalised plans, which will help lead a normal life once more.","Shivtosh Kumar, Madan Somasundaram","Cure.fit, Endiya Partners, Tanglin Venture",10000000.0,Unknown,9,2021
403,Dukaan,2020.0,Bengaluru,Retail,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",11000000.0,Series A,9,2021
404,Vidyakul,2017.0,Gurugram,Edtech,Vidyakul is a group of academic experts.,"Tarun Saini, Gaurav Singhvi",We Founder Circle,500000.0,Bridge,9,2021
405,Goodmylk,2015.0,Bengaluru,Food & Beverages,Make plant-based food affordable and accessible in India.,Abhay Rangan,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff",1000000.0,Seed,9,2021
406,Fieldproxy,2016.0,Chennai,Saas,Fieldproxy is a no-code platform that helps field servicing companies digitize their processes to better manage their on-ground technicians,"Swaroop Vijayakumar, Balakrishna B","LetsVenture, 2am VC, magic.fund",200000.0,Seed,9,2021
408,Elixia Tech Solutions,2011.0,Mumbai,Information Technology & Services,End to End Logistics Automation Expert,Sanket Sheth,Rajasthan Venture Capital Fund,1000000.0,Pre-Series A,9,2021
411,Biddano,2016.0,Pune,"Health, Wellness & Fitness",India's first tech-enabled healthcare logistics platform.,"Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList",2000000.0,Pre-Series A,9,2021
414,Neokred,2019.0,Bengaluru,Fintech,Democratizing Open Banking,"Tarun Nazare, Rohith Reji","Virenxia Group, Rajesh Jain, Nitin Agarwal",500000.0,Seed,9,2021
415,Delhivery,2011.0,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,Addition,76000000.0,Series I,9,2021
418,GoKwik,2020.0,New Delhi,Information Technology & Services,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,"Ankush Talwar, Chirag Taneja, Vivek Bajpai","Matrix Partners India, Jitendra Gupta, RTP Global",5000000.0,Pre-Series A,9,2021
420,InfyU Labs,2019.0,Gandhinagar,Agritech,InfyU Labs is a team of dedicated professionals from various fields of engineering with a common goal of making chemical-free fruits and vegetables accessible to everyone.,"Amit Srivastava, Ankit Chauhan",IAN,200000.0,Seed,9,2021
423,Cogos Technologies,2016.0,Bengaluru,Logistics & Supply Chain,A smart-tech-enabled platform offering a one-stop destination for all the intra-city link-supply chain.,Prasad Sreeram,Transworld Group,2000000.0,Pre-Series A,9,2021
425,Vahdam,2015.0,New Delhi,Food & Beverages,VAHDAM is among the world’s first vertically integrated online-first tea brands.,Bala Sarda,IIFL AMC,20000000.0,Series D,9,2021
426,Leap Finance,2019.0,Bengaluru,Financial Services,International education loans for high potential students.,"Arnav Kumar, Vaibhav Singh",Owl Ventures,55000000.0,Series C,9,2021
427,CollegeDekho,2015.0,Gurugram,Edtech,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals.",Ruchir Arora,"Winter Capital, ETS, Man Capital",26000000.0,Series B,9,2021
428,WeRize,2019.0,Bengaluru,Financial Services,India’s first socially distributed full stack financial services platform for small town India,"Vishal Chopra, Himanshu Gupta","3one4 Capital, Kalaari Capital",8000000.0,Series A,9,2021
430,Factors.AI,2020.0,Bengaluru,Saas,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000.0,Unknown,8,2021
433,OTO Capital,2018.0,Mumbai,Fintech,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,Unknown,8,2021
434,1Bridge,2016.0,Bengaluru,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,Unknown,8,2021
435,Skeps,2018.0,Gurugram,Fintech,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,Unknown,8,2021
436,Curefoods,2020.0,Bengaluru,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Unknown,8,2021
437,TartanSense,2015.0,Bengaluru,Information Technology & Services,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Unknown,8,2021
439,Kirana247,2018.0,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000.0,Unknown,8,2021
442,IsGoingOnline,2015.0,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Unknown,8,2021
443,Camp K12,2010.0,Gurugram,Edtech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Unknown,8,2021
444,Elda Health,2020.0,Bengaluru,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,Unknown,8,2021
447,SuperGaming,2017.0,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Unknown,8,2021
448,Ruptok,2020.0,New Delhi,Fintech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Unknown,8,2021
449,Curefoods,2020.0,Bengaluru,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Unknown,8,2021
450,TartanSense,2015.0,Bengaluru,Information Technology & Services,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Series A,8,2021
452,Kirana247,2018.0,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000.0,Pre-Series A,8,2021
455,IsGoingOnline,2015.0,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Pre-Series A,8,2021
456,Camp K12,2010.0,Gurugram,Edtech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Series A,8,2021
457,Elda Health,2020.0,Bengaluru,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,Seed,8,2021
460,SuperGaming,2017.0,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Series A,8,2021
461,Ruptok,2020.0,New Delhi,Fintech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Unknown,8,2021
466,Khatabook,2018.0,Bengaluru,Financial Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Series C,8,2021
467,Smytten,2015.0,Gurugram,Consumer Goods,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000.0,Series A,8,2021
470,NOTO,2019.0,Mumbai,Consumer Goods,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital, John Abraham, WEH Ventures",500000.0,Pre-Series A,8,2021
471,Lumiq,2013.0,Noida,Information Technology & Services,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,Seed,8,2021
473,Breathe Well-being,2015.0,Gurugram,"Health, Wellness & Fitness","Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,5500000.0,Series A,8,2021
476,goEgoNetwork,2019.0,Pune,Automotive,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",,2000000.0,Unknown,8,2021
478,DrinkPrime,2016.0,Bengaluru,Consumer Goods,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000.0,Unknown,8,2021
480,Smallcase,2015.0,Bengaluru,Fintech,Smallcase is a new way to invest in the stock markets.,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000.0,Series C,8,2021
483,Postman,2014.0,Bengaluru,Computer Software,Postman is the collaboration platform for API development.,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners",225000000.0,Series D,8,2021
484,Hashnode,2016.0,Bengaluru,Computer Software,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",6700000.0,Series A,8,2021
485,RACEnergy,2018.0,Hyderabad,Automotive,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy,"Micelio Fund, growX ventures",1300000.0,Seed,8,2021
486,BharatPe,2018.0,New Delhi,Fintech,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",20000000.0,Debt,8,2021
487,Gyde,2019.0,Pune,Computer Software,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",250000.0,Seed,8,2021
489,AgNext,2016.0,Chandigarh,Agritech,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000.0,Series A,8,2021
493,Rapido,2015.0,Bengaluru,Information Technology & Services,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh","Shell Ventures, Yamaha, Kunal Shah",52000000.0,Unknown,8,2021
494,YPay,2017.0,Noida,Fintech,YPay Card is the new way to manage money.,Dr Navneet Gupta,We Founder Circle,400000.0,Unknown,8,2021
496,Ultrahuman,2020.0,Bengaluru,Healthcare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,17500000.0,Unknown,8,2021
497,UpScalio,2021.0,Gurugram,E-Commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya,,42000000.0,Unknown,8,2021
498,Yellow Class,2020.0,Gurugram,Edtech,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on","Anshul Gupta, Arpit Mittal",Elevation Capital,6000000.0,Unknown,8,2021
500,CreatorStack,2019.0,Bengaluru,Computer Software,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,2000000.0,Unknown,8,2021
501,Expertrons,2019.0,Mumbai,Edtech,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solank, Vivek Gupta","Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2300000.0,Unknown,8,2021
502,Rage Coffee,2018.0,New Delhi,Food & Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,Sixth Sense Ventures,5000000.0,Unknown,8,2021
503,Klub,2019.0,Bengaluru,Financial Services,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"Anurakt Jain, Ishita Verma","9Unicorns, Sequoia Capital India’s Surge",20000000.0,Unknown,8,2021
504,Navia Life Care,2016.0,New Delhi,Healthcare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta","Anicut Angel Fund, 9 Unicorns",1000000.0,Unknown,8,2021
505,1K Kirana Bazaar,2018.0,Gurugram,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",7000000.0,Unknown,8,2021
506,Zupee,2018.0,Gurugram,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital",30000000.0,Unknown,8,2021
511,Whiz League,2020.0,New Delhi,Edtech,Revolutionizing learning experience that goes beyond academia,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,300000.0,Unknown,8,2021
515,upGrad,2015.0,Mumbai,Edtech,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.","Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",India Infoline Finance,25000000.0,Unknown,8,2021
516,FlashPrep,2020.0,Bengaluru,Edtech,FlashPrep is the smart way to master learning.,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000.0,Pre-Seed,8,2021
518,Wiz Freight,2020.0,Chennai,Logistics & Supply Chain,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000.0,Seed,8,2021
519,Credgenics,2018.0,New Delhi,Financial Services,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Rishabh Goel, Mayank Khera, Anand Agrawal","Westbridge Capital, Tanglin Venture Partners",25000000.0,Series A,8,2021
520,BlueLearn,2020.0,Goa,Edtech,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","Harish Uthayakumar, Shreyans Sancheti","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",400000.0,Pre-Seed,8,2021
522,Pickrr,2015.0,Gurugram,Logistics & Supply Chain,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik","IIFL, Amicus Capital, Ananta Capital",12000000.0,Series B,8,2021
524,Grip Invest,2020.0,Gurugram,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",3000000.0,Series A,8,2021
526,Blue Tokai Coffee Roasters,2012.0,New Delhi,Food & Beverages,"Source, roast, and brew India's best single-origin Arabica coffee.","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2000000.0,Pre-Series B,8,2021
527,Neeman,2017.0,Hyderabad,Consumer Goods,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,Sixth Sense Ventures,2000000.0,Series A,8,2021
528,BharatPe,2018.0,New Delhi,Fintech,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000.0,Series E,8,2021
529,GoSats,2020.0,Bengaluru,Fintech,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",700000.0,Seed,8,2021
530,StockGro,2020.0,Bengaluru,Fintech,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,"Roots Ventures, Velo Partners",5000000.0,Pre-Series A,8,2021
531,Onsurity,2020.0,Bengaluru,Healthcare,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,16000000.0,Series A,8,2021
536,Rocket Skills,2020.0,Gurugram,Edtech,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain","Better Capital, First Cheque, Titan Capital",200000.0,Pre-Seed,8,2021
537,RenewBuy,2015.0,Gurugram,Fintech,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,Evolvence Capital,10000000.0,Series C,8,2021
538,Faarms,2020.0,Bengaluru,Agritech,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",,2000000.0,Seed,8,2021
543,Toothsi,2018.0,Mumbai,"Health, Wellness & Fitness",India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",20000000.0,Series B,8,2021
544,Soothe Healthcare,2012.0,New Delhi,Consumer Goods,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91 Partners,10000000.0,Series C,8,2021
545,Goodmeetings,2020.0,Bengaluru,Computer Software,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,1700000.0,Series A,8,2021
547,ChefKart,2020.0,Gurugram,Consumer Goods,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",300000.0,Pre-Seed,8,2021
